UNIT TEST 1

Testing fullDeckCount():
Test player 0 with 0 deck cards, 0 hand cards, 0 discard cards, counting card 6: PASS
Test player 0 with 1 deck cards, 4 hand cards, 0 discard cards, counting card 14: PASS
Test player 0 with 1 deck cards, 4 hand cards, 0 discard cards, counting card 10: PASS
Test player 0 with 1 deck cards, 4 hand cards, 1 discard cards, counting card 6: PASS
Test player 0 with 1 deck cards, 4 hand cards, 1 discard cards, counting card 3: PASS
Test player 0 with 1 deck cards, 4 hand cards, 1 discard cards, counting card 14: PASS
Test player 0 with 1 deck cards, 4 hand cards, 1 discard cards, counting card 10: PASS
Test player 0 with 1 deck cards, 4 hand cards, 2 discard cards, counting card 6: PASS
Test player 0 with 1 deck cards, 4 hand cards, 2 discard cards, counting card 3: PASS
Test player 0 with 1 deck cards, 4 hand cards, 2 discard cards, counting card 14: PASS
Test player 0 with 1 deck cards, 4 hand cards, 2 discard cards, counting card 10: PASS
Test player 0 with 1 deck cards, 4 hand cards, 3 discard cards, counting card 6: PASS
Test player 0 with 1 deck cards, 4 hand cards, 3 discard cards, counting card 3: PASS
Test player 0 with 1 deck cards, 4 hand cards, 3 discard cards, counting card 14: PASS
Test player 0 with 1 deck cards, 4 hand cards, 3 discard cards, counting card 10: PASS
Test player 0 with 1 deck cards, 4 hand cards, 4 discard cards, counting card 6: PASS
Test player 0 with 1 deck cards, 4 hand cards, 4 discard cards, counting card 3: PASS
Test player 0 with 1 deck cards, 4 hand cards, 4 discard cards, counting card 14: PASS
Test player 0 with 1 deck cards, 4 hand cards, 4 discard cards, counting card 10: PASS
Test player 0 with 2 deck cards, 0 hand cards, 0 discard cards, counting card 6: PASS
Test player 0 with 2 deck cards, 0 hand cards, 0 discard cards, counting card 3: PASS
Test player 0 with 2 deck cards, 0 hand cards, 0 discard cards, counting card 14: PASS
Test player 0 with 2 deck cards, 0 hand cards, 0 discard cards, counting card 10: PASS
Test player 0 with 2 deck cards, 0 hand cards, 1 discard cards, counting card 6: PASS
Test player 0 with 2 deck cards, 0 hand cards, 1 discard cards, counting card 3: PASS
Test player 0 with 2 deck cards, 0 hand cards, 1 discard cards, counting card 14: PASS
Test player 0 with 2 deck cards, 0 hand cards, 1 discard cards, counting card 10: PASS
Test player 0 with 2 deck cards, 0 hand cards, 2 discard cards, counting card 6: PASS
Test player 0 with 2 deck cards, 0 hand cards, 2 discard cards, counting card 3: PASS
Test player 0 with 2 deck cards, 0 hand cards, 2 discard cards, counting card 14: PASS
Test player 0 with 2 deck cards, 0 hand cards, 2 discard cards, counting card 10: PASS
Test player 0 with 2 deck cards, 0 hand cards, 3 discard cards, counting card 6: PASS
Test player 0 with 2 deck cards, 0 hand cards, 3 discard cards, counting card 3: PASS
Test player 0 with 2 deck cards, 0 hand cards, 3 discard cards, counting card 14: PASS
Test player 0 with 2 deck cards, 0 hand cards, 3 discard cards, counting card 10: PASS
Test player 0 with 2 deck cards, 0 hand cards, 4 discard cards, counting card 6: PASS
Test player 0 with 2 deck cards, 0 hand cards, 4 discard cards, counting card 3: PASS
Test player 0 with 2 deck cards, 0 hand cards, 4 discard cards, counting card 14: PASS
Test player 0 with 2 deck cards, 0 hand cards, 4 discard cards, counting card 10: PASS
Test player 0 with 2 deck cards, 1 hand cards, 0 discard cards, counting card 6: PASS
Test player 0 with 2 deck cards, 1 hand cards, 0 discard cards, counting card 3: PASS
Test player 0 with 2 deck cards, 1 hand cards, 0 discard cards, counting card 14: PASS
Test player 0 with 2 deck cards, 1 hand cards, 0 discard cards, counting card 10: PASS
Test player 0 with 2 deck cards, 1 hand cards, 1 discard cards, counting card 6: PASS
Test player 0 with 2 deck cards, 1 hand cards, 1 discard cards, counting card 3: PASS
Test player 0 with 2 deck cards, 1 hand cards, 1 discard cards, counting card 14: PASS
Test player 0 with 2 deck cards, 1 hand cards, 1 discard cards, counting card 10: PASS
Test player 0 with 2 deck cards, 1 hand cards, 2 discard cards, counting card 6: PASS
Test player 0 with 2 deck cards, 1 hand cards, 2 discard cards, counting card 3: PASS
Test player 0 with 2 deck cards, 1 hand cards, 2 discard cards, counting card 14: PASS
Test player 0 with 2 deck cards, 1 hand cards, 2 discard cards, counting card 10: PASS
Test player 0 with 2 deck cards, 1 hand cards, 3 discard cards, counting card 6: PASS
Test player 0 with 2 deck cards, 1 hand cards, 3 discard cards, counting card 3: PASS
Test player 0 with 2 deck cards, 1 hand cards, 3 discard cards, counting card 14: PASS
Test player 0 with 2 deck cards, 1 hand cards, 3 discard cards, counting card 10: PASS
Test player 0 with 2 deck cards, 1 hand cards, 4 discard cards, counting card 6: PASS
Test player 0 with 2 deck cards, 1 hand cards, 4 discard cards, counting card 3: PASS
Test player 0 with 2 deck cards, 1 hand cards, 4 discard cards, counting card 14: PASS
Test player 0 with 2 deck cards, 1 hand cards, 4 discard cards, counting card 10: PASS
Test player 0 with 2 deck cards, 2 hand cards, 0 discard cards, counting card 6: PASS
Test player 0 with 2 deck cards, 2 hand cards, 0 discard cards, counting card 3: PASS
Test player 0 with 2 deck cards, 2 hand cards, 0 discard cards, counting card 14: PASS
Test player 0 with 2 deck cards, 2 hand cards, 0 discard cards, counting card 10: PASS
Test player 0 with 2 deck cards, 2 hand cards, 1 discard cards, counting card 6: PASS
Test player 0 with 2 deck cards, 2 hand cards, 1 discard cards, counting card 3: PASS
Test player 0 with 2 deck cards, 2 hand cards, 1 discard cards, counting card 14: PASS
Test player 0 with 2 deck cards, 2 hand cards, 1 discard cards, counting card 10: PASS
Test player 0 with 2 deck cards, 2 hand cards, 2 discard cards, counting card 6: PASS
Test player 0 with 2 deck cards, 2 hand cards, 2 discard cards, counting card 3: PASS
Test player 0 with 2 deck cards, 2 hand cards, 2 discard cards, counting card 14: PASS
Test player 0 with 2 deck cards, 2 hand cards, 2 discard cards, counting card 10: PASS
Test player 0 with 2 deck cards, 2 hand cards, 3 discard cards, counting card 6: PASS
Test player 0 with 2 deck cards, 2 hand cards, 3 discard cards, counting card 3: PASS
Test player 0 with 2 deck cards, 2 hand cards, 3 discard cards, counting card 14: PASS
Test player 0 with 2 deck cards, 2 hand cards, 3 discard cards, counting card 10: PASS
Test player 0 with 2 deck cards, 2 hand cards, 4 discard cards, counting card 6: PASS
Test player 0 with 2 deck cards, 2 hand cards, 4 discard cards, counting card 3: PASS
Test player 0 with 2 deck cards, 2 hand cards, 4 discard cards, counting card 14: PASS
Test player 0 with 2 deck cards, 2 hand cards, 4 discard cards, counting card 10: PASS
Test player 0 with 2 deck cards, 3 hand cards, 0 discard cards, counting card 6: PASS
Test player 0 with 2 deck cards, 3 hand cards, 0 discard cards, counting card 3: PASS
Test player 0 with 2 deck cards, 3 hand cards, 0 discard cards, counting card 14: PASS
Test player 0 with 2 deck cards, 3 hand cards, 0 discard cards, counting card 10: PASS
Test player 0 with 2 deck cards, 3 hand cards, 1 discard cards, counting card 6: PASS
Test player 0 with 2 deck cards, 3 hand cards, 1 discard cards, counting card 3: PASS
Test player 0 with 2 deck cards, 3 hand cards, 1 discard cards, counting card 14: PASS
Test player 0 with 2 deck cards, 3 hand cards, 1 discard cards, counting card 10: PASS
Test player 0 with 2 deck cards, 3 hand cards, 2 discard cards, counting card 6: PASS
Test player 0 with 2 deck cards, 3 hand cards, 2 discard cards, counting card 3: PASS
Test player 0 with 2 deck cards, 3 hand cards, 2 discard cards, counting card 14: PASS
Test player 0 with 2 deck cards, 3 hand cards, 2 discard cards, counting card 10: PASS
Test player 0 with 2 deck cards, 3 hand cards, 3 discard cards, counting card 6: PASS
Test player 0 with 2 deck cards, 3 hand cards, 3 discard cards, counting card 3: PASS
Test player 0 with 2 deck cards, 3 hand cards, 3 discard cards, counting card 14: PASS
Test player 0 with 2 deck cards, 3 hand cards, 3 discard cards, counting card 10: PASS
Test player 0 with 2 deck cards, 3 hand cards, 4 discard cards, counting card 6: PASS
Test player 0 with 2 deck cards, 3 hand cards, 4 discard cards, counting card 3: PASS
Test player 0 with 2 deck cards, 3 hand cards, 4 discard cards, counting card 14: PASS
Test player 0 with 2 deck cards, 3 hand cards, 4 discard cards, counting card 10: PASS
Test player 0 with 2 deck cards, 4 hand cards, 0 discard cards, counting card 6: PASS
Test player 0 with 2 deck cards, 4 hand cards, 0 discard cards, counting card 3: PASS
Test player 0 with 2 deck cards, 4 hand cards, 0 discard cards, counting card 14: PASS
Test player 0 with 2 deck cards, 4 hand cards, 0 discard cards, counting card 10: PASS
Test player 0 with 2 deck cards, 4 hand cards, 1 discard cards, counting card 6: PASS
Test player 0 with 2 deck cards, 4 hand cards, 1 discard cards, counting card 3: PASS
Test player 0 with 2 deck cards, 4 hand cards, 1 discard cards, counting card 14: PASS
Test player 0 with 2 deck cards, 4 hand cards, 1 discard cards, counting card 10: PASS
Test player 0 with 2 deck cards, 4 hand cards, 2 discard cards, counting card 6: PASS
Test player 0 with 2 deck cards, 4 hand cards, 2 discard cards, counting card 3: PASS
Test player 0 with 2 deck cards, 4 hand cards, 2 discard cards, counting card 14: PASS
Test player 0 with 2 deck cards, 4 hand cards, 2 discard cards, counting card 10: PASS
Test player 0 with 2 deck cards, 4 hand cards, 3 discard cards, counting card 6: PASS
Test player 0 with 2 deck cards, 4 hand cards, 3 discard cards, counting card 3: PASS
Test player 0 with 2 deck cards, 4 hand cards, 3 discard cards, counting card 14: PASS
Test player 0 with 2 deck cards, 4 hand cards, 3 discard cards, counting card 10: PASS
Test player 0 with 2 deck cards, 4 hand cards, 4 discard cards, counting card 6: PASS
Test player 0 with 2 deck cards, 4 hand cards, 4 discard cards, counting card 3: PASS
Test player 0 with 2 deck cards, 4 hand cards, 4 discard cards, counting card 14: PASS
Test player 0 with 2 deck cards, 4 hand cards, 4 discard cards, counting card 10: PASS
Test player 0 with 3 deck cards, 0 hand cards, 0 discard cards, counting card 6: PASS
Test player 0 with 3 deck cards, 0 hand cards, 0 discard cards, counting card 3: PASS
Test player 0 with 3 deck cards, 0 hand cards, 0 discard cards, counting card 14: PASS
Test player 0 with 3 deck cards, 0 hand cards, 0 discard cards, counting card 10: PASS
Test player 0 with 3 deck cards, 0 hand cards, 1 discard cards, counting card 6: PASS
Test player 0 with 3 deck cards, 0 hand cards, 1 discard cards, counting card 3: PASS
Test player 0 with 3 deck cards, 0 hand cards, 1 discard cards, counting card 14: PASS
Test player 0 with 3 deck cards, 0 hand cards, 1 discard cards, counting card 10: PASS
Test player 0 with 3 deck cards, 0 hand cards, 2 discard cards, counting card 6: PASS
Test player 0 with 3 deck cards, 0 hand cards, 2 discard cards, counting card 3: PASS
Test player 0 with 3 deck cards, 0 hand cards, 2 discard cards, counting card 14: PASS
Test player 0 with 3 deck cards, 0 hand cards, 2 discard cards, counting card 10: PASS
Test player 0 with 3 deck cards, 0 hand cards, 3 discard cards, counting card 6: PASS
Test player 0 with 3 deck cards, 0 hand cards, 3 discard cards, counting card 3: PASS
Test player 0 with 3 deck cards, 0 hand cards, 3 discard cards, counting card 14: PASS
Test player 0 with 3 deck cards, 0 hand cards, 3 discard cards, counting card 10: PASS
Test player 0 with 3 deck cards, 0 hand cards, 4 discard cards, counting card 6: PASS
Test player 0 with 3 deck cards, 0 hand cards, 4 discard cards, counting card 3: PASS
Test player 0 with 3 deck cards, 0 hand cards, 4 discard cards, counting card 14: PASS
Test player 0 with 3 deck cards, 0 hand cards, 4 discard cards, counting card 10: PASS
Test player 0 with 3 deck cards, 1 hand cards, 0 discard cards, counting card 6: PASS
Test player 0 with 3 deck cards, 1 hand cards, 0 discard cards, counting card 3: PASS
Test player 0 with 3 deck cards, 1 hand cards, 0 discard cards, counting card 14: PASS
Test player 0 with 3 deck cards, 1 hand cards, 0 discard cards, counting card 10: PASS
Test player 0 with 3 deck cards, 1 hand cards, 1 discard cards, counting card 6: PASS
Test player 0 with 3 deck cards, 1 hand cards, 1 discard cards, counting card 3: PASS
Test player 0 with 3 deck cards, 1 hand cards, 1 discard cards, counting card 14: PASS
Test player 0 with 3 deck cards, 1 hand cards, 1 discard cards, counting card 10: PASS
Test player 0 with 3 deck cards, 1 hand cards, 2 discard cards, counting card 6: PASS
Test player 0 with 3 deck cards, 1 hand cards, 2 discard cards, counting card 3: PASS
Test player 0 with 3 deck cards, 1 hand cards, 2 discard cards, counting card 14: PASS
Test player 0 with 3 deck cards, 1 hand cards, 2 discard cards, counting card 10: PASS
Test player 0 with 3 deck cards, 1 hand cards, 3 discard cards, counting card 6: PASS
Test player 0 with 3 deck cards, 1 hand cards, 3 discard cards, counting card 3: PASS
Test player 0 with 3 deck cards, 1 hand cards, 3 discard cards, counting card 14: PASS
Test player 0 with 3 deck cards, 1 hand cards, 3 discard cards, counting card 10: PASS
Test player 0 with 3 deck cards, 1 hand cards, 4 discard cards, counting card 6: PASS
Test player 0 with 3 deck cards, 1 hand cards, 4 discard cards, counting card 3: PASS
Test player 0 with 3 deck cards, 1 hand cards, 4 discard cards, counting card 14: PASS
